title,body,language,date,source,url
آخر الأخبار السياسية والرياضية والفنية وأحدث تقارير الفيديو - CNN Arabic,"Search Search الشرق الأوسط العالم سياحة رياضة علوم وصحة منوعات ستايل اقتصاد صفحات خاصة تابعونا عبر سياسة الخصوصية شروط الخدمة ملفات تعريف الارتباط خيارات الإعلانات CNN الاقتصادية من نحن الأرشيف © 2025 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved. User Account الرئيسية آخر الأخبار 3 خيارات أمام دول الخليج للرد على هجوم إسرائيل على قطر الشرق الأوسط الشرق الأوسط ضربة الدوحة.. فانس يثير تفاعلا بما قاله بلقاء رئيس وزراء قطر الشرق الأوسط مصر.. سجال بعد تدوينة محذوفة لعلاء مبارك عن حماس وضربة قطر الشرق الأوسط السعودية.. فيديو اقتحام أمني لفيلا مروج مخدرات وما عثر عليه صفحات خاصة سياحة آيا صوفيا.. الصرح المقدس الشاهد على سقوط العروش وقيام الدول علوم وصحة 7 سنوات من البحث تكشف أسرارًا مذهلة عن طريقة عمل الدماغ أثناء اتخاذ القرار ستايل بعد تركه ""فوغ"".. هل ينجح إدوارد إينينفول ببناء منصة موضة أقوى؟ سياحة لحظة مرعبة في كاليفورنيا.. كاميرا توثّق مرور أسد جبلي بجوار أحد المخيّمين علوم وصحة الغذاء والدواء توافق على زراعة كلى الخنازير في التجارب البشرية ستايل الكفن الذي يُقال إنه لفّ جسد المسيح.. حقيقة أم أسطورة؟ علوم وصحة ""العالم يواجه الانقراض الجماعي السادس"".. وبحث جديد ينفي ذلك سياحة لأول مرة منذ أكثر من 6 سنوات.. مراقبو الحيتان يرصدون حوتَي عنبر أثناء جولة بحرية اخترنا لكم العالم سلسلة حوادث غامضة منها رؤوس خنازير أمام مساجد.. هل يُؤجج عملاء أجانب التوترات في فرنسا؟ العالم قبل أيام من اغتياله.. إليك ما قاله تشارلي كيرك في آخر مقابلاته مع CNN الشرق الأوسط زوجة الشرع تثير تفاعلا بظهورها باستقبال قائد عسكري أمريكي الصراع الفلسطيني - الإسرائيلي تحليل لـCNN يكشف الجدول الزمني للضربة الإسرائيلية في قطر.. شاهد تسلل الأحداث الأكثر مشاهدة مذيعة CNN لرئيس وزراء قطر عن الضربة الإسرائيلية: هل تشعرون بالخيانة؟ شاهد كيف رد ضربة قطر.. محلل يلفت لـCNN عمق التداعيات مؤكدا: ترامب إما أعطى الضوء الأخضر أو الأصفر هل ضغطت قطر على حماس لقبول مقترح ترامب؟ رئيس وزراء قطر يجيب لـCNN أخبار الفن دانيال داي لويس يوضح أسباب تراجعه عن الاعتزال مسلسلات تركية.. ""حلم أشرف 2"".. إليكم التفاصيل وموعد العرض آنا وينتور تدلي برأيها الحقيقي في فيلم ""الشيطان يرتدي برادا"" رياضة السعودية.. ",Arabic,,arabic.cnn.com,https://arabic.cnn.com/
"Ars Technica - Serving the Technologist since 1998. News, reviews, and analysis.","Skip to content Ars Technica home Sections Forum Subscribe Search AI Biz & IT Cars Culture Gaming Health Policy Science Security Space Tech Feature Reviews AI Biz & IT Cars Culture Gaming Health Policy Science Security Space Tech Forum Subscribe Theme HyperLight Day & Night Dark System Sign In Ars Technica homepage Grid Classic Grid List Neutron Star Classic Grid List Neutron Star grid settings Featured LEAP Jef Raskin’s cul-de-sac and the quest for the humane computer “He wanted to make [computers] more usable and friendly to people who weren't geeks.” Cameron Kaiser – 9/12/2025 | 62 60 years after Gemini, newly processed images reveal incredible details ""It's that level of risk that they were taking. I think that's what really hit home."" Eric Berger – 9/13/2025 | 0 Scientists: It’s do or die time for America’s primacy exploring the Solar System ""When you turn off those spacecraft’s radio receivers, there's no way to turn them back on."" Stephen Clark – 9/12/2025 | 54 RFK Jr.’s CDC may limit COVID shots to 75 and up, claim they killed kids A battle is brewing over mRNA vaccines, which could intensify backlash against Kennedy. Beth Mole – 9/12/2025 | 134 Modder injects AI dialogue into 2002’s Animal Crossing using memory hack Unofficial mod lets classic Nintendo GameCube title use AI chatbots with amusing results. Benj Edwards – 9/12/2025 | 17 60 years after Gemini, newly processed images reveal incredible details ""It's that level of risk that they were taking. I think that's what really hit home."" Eric Berger – 9/13/2025 | 0 Scientists: It’s do or die time for America’s primacy exploring the Solar System ""When you turn off those spacecraft’s radio receivers, there's no way to turn them back on."" Stephen Clark – 9/12/2025 | 54 RFK Jr.’s CDC may limit COVID shots to 75 and up, claim they killed kids A battle is brewing over mRNA vaccines, which could intensify backlash against Kennedy. Beth Mole – 9/12/2025 | 134 Modder injects AI dialogue into 2002’s Animal Crossing ",English,2025-09-12T07:00:49-04:00,arstechnica.com,https://arstechnica.com/
Meduza in English — The Real Russia. Today.,"Skip to main content Home News Feed The Beet Shop About Медуза по-русски RU news Crossing denied Over 1,500 vehicles get stuck in Belarus after Polish border closure catches residents and travelers off guard 13 hours ago stories ‘Everything they earn by killing, they throw away on prostitutes’ How Russian soldiers returning from Ukraine are reshaping St. Petersburg’s sex trade 13 hours ago explainers Consumer prices in Russia are falling. What’s going on? 3 cards a day ago Russian Central Bank lowers interest rate to 17 percent in third consecutive cut 16 hours ago Russia’s former deputy defense minister charged with accepting $15.5 million in bribes from major contractor 6 hours ago Prince Harry goes to Kyiv for the first time in surprise visit 19 hours ago Poland shuts all border crossings with Belarus ahead of Russian-Belarusian military drills a day ago Russia may raise VAT to 22 percent as war spending deepens budget deficit — The Bell 2 days ago news Zapad-2025 Russia and Belarus begin military exercises near NATO borders, including simulated nuclear strike planning 19 hours ago news ‘If Donald is willing’ In a deal with Washington, Lukashenko frees and deports dozens of political prisoners — including an opposition leader who immediately returned to Belarus a day ago news Kyiv’s patsies Mediazona confirms the identities of the five truckers who unwittingly transported Ukrainian drones to Russian airfields in ‘Operation Spiderweb’ a day ago stories ‘Among the most prolific money laundering platforms’ The mysterious prison death of a Russia-based crypto kingpin arrested in India at Washington’s request 2 days ago stories ‘They let him die and washed their hands of it’ Russian officials are refusing death benefits to a war widow left with 10 children, offering a family excursion instead 2 days ago Our only hope is you. Support Meduza. stories Russia’s greatest jailbreaks From helicopter hijacks to identity swaps: the country’s most audacious escapes 2 days ago n",Russian,"Sat, 13 Sep 2025 05:15:28 GMT",meduza.io,https://meduza.io/en
MEO,Sort by التاريخ من الأحدث الى الأقدم التاريخ من الأقدم الى الأحدث الأكثر صلة الرئيسية اخبار العالم آراء بوابات عربية Back بوابات عربية الاردن الامارات البحرين الجزائر السعودية السودان الصومال العراق الكويت المغرب اليمن تونس جيبوتي سوريا عمان فلسطين قطر لبنان ليبيا مصر موريتانيا دول المحيط Back دول المحيط اسرائيل القرن الافريقي ايران تركيا ساحل اقتصاد حياة ثقافة رياضة الاتصال بنا      E ع     احمد الشرع الشرع: نجري مفاوضات مع إسرائيل لكن لن نتنازل عن ذرة تراب view احمد الشرع الشرع: نجري مفاوضات مع إسرائيل لكن لن نتنازل عن ذرة تراب view الازمة الليبية اتفاق أمني بين الدبيبة والردع يعيد رسم خارطة النفوذ في طرابلس view حرب غزة مسؤول قطري بارز نجا من القصف الإسرائيلي على الدوحة view الازمة السودانية أميركا و3 دول عربية تقود مبادرة جديدة لإنهاء الحرب في السودان view رأي المغرب والاتحاد الأوروبي: نحو ميثاق متوسطي جديد سعيد التمسماني view خرق السيادة واستهداف القيادة أحمد سليمان العمري view على خطى النبي: من الاحتفال إلى صناعة الأمة أحمد شهاب view مفارقة دبلوماسية ترامب: أهداف صحيحة وأساليب معيبة ألطاف موتي view حافلة القيادة وقطار الخيار الصعب عبدالباري فياض view الهجوم على قطر وعودة إلى معضلة الأمن القومي العربي د. سنية الحسيني view أخبار العالم الازمة اللبنانية استكمال المرحلة الرابعة من تسليم سلاح المخيمات في لبنان view حرب غزة الأمم المتحدة تطالب بالتحقيق في استهداف 'أسطول الصمود' في تونس view الدبلوماسية الاميركية روبيو إلى إسرائيل في ذروة توترات إقليمية view الجيش المغربي المغرب يقترب من تعزيز تفوقه الجوي في محيطه view الأزمة السورية سكان حي للعلويين يواجهون الترحيل بحجة الاستيلاء عليه من عائلة الأسد view حرب غزة قطر تتراجع عن تجميد دورها في الوساطة بين إسرائيل وحماس view الأزمة السورية نطاق الانتخابات التشريعية السورية يتسع ليضم الرقة والحسكة view حرب غزة نتنياهو يتهم بيدرو سانشيز بالتحريض على إبادة اليهود view الرواية الاماراتية الامارات تستدعي نائب سفير إسرائيل احتجاجا على انتهاك سيادة قطر view الامن المغربي تنسيق مغربي فرنسي لتأمين التظاهرات الرياضية ومواجهة المخاطر view احمد الشرع واشنطن تؤسس لتعاون عسكري مع سوريا بإيفاد قائد 'سنتكوم' إلى دمشق view الان,English,,middle-east-online.com,https://middle-east-online.com/
TASS Russian News Agency,"Military operation in Ukraine Russian forces liberate Novonikolayevka in Dnepropetrovsk Region — top brass Special services of several countries spend $4 billion on Serbia’s collapse — Vucic Middle East conflict Houthis attack Tel Aviv with ‘hypersonic ballistic missile’ — spokesman Military operation in Ukraine Kiev regime does not aspire for peace, interested in continuing conflict — Russian envoy Russian forces liberate Novonikolayevka in Dnepropetrovsk Region — top brass Main Story Military operation in Ukraine Other Stories Middle East conflict Protests in Nepal Iran's nuclear program Ukraine crisis Most UN states do not sign declaration on Russia’s involvement in Poland drone incident IN BRIEF: Isolation, diversity, future: Putin speaks at culture forum Ex-chairwoman of Nepal’s Supreme Court sworn in as head of interim cabinet IN BRIEF: Slowing economic growth, lower inflation — Central Bank highlights Kiev wants Moscow to abandon negotiations — Russia’s special envoy Press Review Press review: Europe boosts Ukraine arms as Kirk murder exposes US divide and violence Press review: Analysts note Poland drone gains as French protesters set out to oppose all Press review: EU uses sanctions to disrupt Russia-US talks as Israel’s Qatar mission fails Press review: BRICS leaders hold online summit as NATO forces launch drills off Turkey Press review: US may reduce focus on China as Switzerland weighs peacekeepers in Ukraine Press Review Press review: Europe boosts Ukraine arms as Kirk murder exposes US divide and violence Press review: Analysts note Poland drone gains as French protesters set out to oppose all Press review: EU uses sanctions to disrupt Russia-US talks as Israel’s Qatar mission fails Press review: BRICS leaders hold online summit as NATO forces launch drills off Turkey Press review: US may reduce focus on China as Switzerland weighs peacekeepers in Ukraine Press releases 2025 Eventiada Awards Opens for Entries in All Languages Submission of application",Russian,,tass.com,https://tass.com/
TechCrunch | Startup and Technology News,"TechCrunch Desktop Logo TechCrunch Mobile Logo Latest Startups Venture Apple Security AI Apps Disrupt 2025 Events Podcasts Newsletters Search Submit Site Search Toggle Mega Menu Toggle Topics Latest AI Amazon Apps Biotech & Health Climate Cloud Computing Commerce Crypto Enterprise EVs Fintech Fundraising Gadgets Gaming Google Government & Policy Hardware Instagram Layoffs Media & Entertainment Meta Microsoft Privacy Robotics Security Social Space Startups TikTok Transportation Venture More from TechCrunch Staff Events Startup Battlefield StrictlyVC Newsletters Podcasts Videos Partner Content TechCrunch Brand Studio Crunchboard Contact Us AI Why the Oracle-OpenAI deal caught Wall Street by surprise Tim De Chant Rebecca Szkutak 15 hours ago Transportation Ram ends EV pickup truck plans Kirsten Korosec 12 hours ago AI Micro1, a competitor to Scale AI, raises funds at $500M valuation Maxwell Zeff 18 hours ago Top Headlines All of the iPhone 17 models compared Aisha Malik Pilot union urges FAA to reject Rainmaker’s drone cloud-seeding plan Aria Alamalhodaei Tim De Chant Google is a ‘bad actor’ says People CEO, accusing the company of stealing content Sarah Perez Via shrugs off tepid open to end first day of trading slightly above IPO price Rebecca Bellan We are entering a golden age of robotics startups — and not just because of AI Rebecca Szkutak Latest News See More Transportation Ram ends EV pickup truck plans Kirsten Korosec 12 hours ago Transportation Via shrugs off tepid open to end first day of trading slightly above IPO price Rebecca Bellan 14 hours ago Startups Pilot union urges FAA to reject Rainmaker’s drone cloud-seeding plan Aria Alamalhodaei Tim De Chant 14 hours ago AI Why the Oracle-OpenAI deal caught Wall Street by surprise Tim De Chant Rebecca Szkutak 15 hours ago AI Google is a ‘bad actor’ says People CEO, accusing the company of stealing content Sarah Perez 16 hours ago Hardware All of the iPhone 17 models compared Aisha Malik 16 hours ago AI Micro1, ",English,2025-09-12T13:01:41-07:00,techcrunch.com,https://techcrunch.com/
TNW | The heart of tech,"Big business can still innovate — by adding startup leaders to the C-suite Ecosystems Founders’ takes: How AI is rewriting the playbook for investing Ecosystems Want to re-live your favourite sessions? Watch talks from TNW Conference 2025 Watch now Is Europe ready for self-driving cars? Government and policy TNW: Events and media signing out, 2006–2025 Ecosystems Want to re-live your favourite sessions? Watch talks from TNW Conference 2025 Watch now Latest news Big business can still innovate — by adding startup leaders to the C-suite Ecosystems Startup wisdom: How to break the cycle of meeting hangovers Future of work Founders’ takes: How AI is rewriting the playbook for investing Ecosystems Is Europe ready for self-driving cars? Government and policy TNW: Events and media signing out, 2006–2025 Ecosystems Reclaiming the stack: Europe’s bid for digital sovereignty Data and security How Dutch startup Tap Electric is fixing EV charging chaos Sustainability Startup wisdom: How to get your startup noticed — 5 principles to master Future of work Past the tipping point: Why the climate transition is now in our hands Next Featured Founders’ takes: AI isn’t the end of developers — it’s their evolution Future of work Opinion: Europe can lead in tech — if regulation and culture align Ecosystems The Hot Crazy Matrix explains why investors get tech deals wrong Ecosystems See all latest news Get the TNW newsletter Your weekly deep dive into the European tech scene. Every Thursday with regular columns by TNW's co-founder Boris Veldhuijzen van Zanten and Managing Editor Thomas Macaulay. Startups and technology ECOSYSTEMS Big business can still innovate — by adding startup leaders to the C-suite Dr. David von Rosen, founder of gaming unicorn Lottoland, argues corporates can drive innovation by hiring startup leaders FUTURE OF WORK Startup wisdom: How to break the cycle of meeting hangovers ECOSYSTEMS Founders’ takes: How AI is rewriting the playbook for investing ECOSYSTEMS TNW: E",English,,thenextweb.com,https://thenextweb.com/
أخبار 24 | آخر الأخبار وأهم المستجدات اليوم,يصدر عن المجموعة السعودية للأبحاث والإعلام جميع الحقوق محفوظة أعلن معنا عن أخبار 24 اتصل بنا سياسة الروابط الخارجية سياسة الخصوصية تنزيل من App Store احصل عليه من Play Store أعلن معنا عن أخبار 24 اتصل بنا سياسة الروابط الخارجية سياسة الخصوصية جميع الحقوق محفوظة,Arabic,,akhbaar24.com,https://www.akhbaar24.com/
الجزيرة نت: آخر أخبار اليوم حول العالم,"تخطي الروابط اذهب إلى المحتوى المميّز اذهب إلى تغذية المحتوى انتقل إلى الأكثر قراءة رابط إلى الصفحة الرئيسية للجزيرة play البث الحي تسجيل أظهر القائمة الرئيسية Navigation menu أخبار أفريقيا أبعاد رياضة مقالات بيئة اقتصاد ثقافة صحة فيديو المزيد اعرض المزيد غوث سفر سياسة تكنولوجيا مدونات الموسوعة تراث فن علوم أسلوب حياة معمّقة القدس أسرة منوعات حريات دراسات إذاعة بالصور play البث الحي اضغط هنا للبحث search تسجيل Navigation menu caret-left الآن سوريا فلسطين السودان أوكرانيا caret-right محتوى رئيسي aj-logo قد يحتوي هذا الفيديو أنماطا ضوئية أو صورا يمكن أن تسبب نوبات صرع أو عدم ارتياح لمن يعاني حساسيات بصرية الحرب على غزة.. شهداء من المجوعين وأكثر من مليون غزّي يرفضون النزوح القسري blinking-dot تغطية مباشرة تغطية مباشرة, list 1 of 10 live-blue نشر منذ 10 دقائق منذ 10د الاحتلال ينذر بإخلاء برج النور في تل الهوى list 2 of 10 live-blue نشر منذ 19 دقائق منذ 19د شهيدان ومصابون بقصف إسرائيلي على منطقة النفق الاحتلال يقصف 3 مدارس تؤوي نازحين في مدينة غزة قصفت الطائرات الإسرائيلية اليوم السبت 3 مدارس تؤوي نازحين في مدينة غزة، وبالتزامن استهدفت قوات الاحتلال مجددا حشود المجوّعين الباحثين عن الطعام، مما أسفر عن شهداء ومصابين. الاحتلال يقصف 3 مدارس تؤوي نازحين في مدينة غزة قصفت الطائرات الإسرائيلية اليوم السبت 3 مدارس تؤوي نازحين في مدينة غزة، وبالتزامن استهدفت قوات الاحتلال مجددا حشود المجوّعين الباحثين عن الطعام، مما أسفر عن شهداء ومصابين. وول ستريت جورنال: إسرائيل تكسب الحرب لكنها تخسر العالم وول ستريت جورنال: إسرائيل تكسب الحرب لكنها تخسر العالم تسليم الدفعة الرابعة من سلاح المخيمات الفلسطينية في لبنان نضج ووفاء وطموح.. كيف يدعم لامين جمال نجاحه الرياضي؟ كل ما تحتاج معرفته عن طرز ""آيفون 17"" الجديدة ملف الشهر: التجويع كسلاح حرب.. رحلة عبر التاريخ من ناميبيا إلى غزة واشنطن بوست: دول الخليج تشكك في الحماية الأميركية بعد الهجوم الإسرائيلي 35 عاما على الوحدة.. كتاب جديد يكشف عمق الاستقطاب بين شطري ألمانيا اختيارات المحررين أربع خطوات قاتلة .. دليلك لشبكة علاقات فاشلة من المكتب إلى الموساد سفن وغواصة نووية ومارينز.. ماذا يفعل الجيش الأميركي قرب فنزويلا؟ مراسلون محللون: إسرائيل لم تحس",Arabic,,aljazeera.net,https://www.aljazeera.net/
الرئيسية - BBC News عربي,"BBC News, عربي إذهب الى المحتوى أقسام الصفحة الحالية, رئيسية شاهد البث المباشر أخبار اقتصاد صحة وعلوم رياضة فيديو تحقيقات بودكاست برامجنا الصفحة الحالية, رئيسية شاهد البث المباشر أخبار اقتصاد صحة وعلوم رياضة فيديو تحقيقات بودكاست برامجنا BBC News , عربي - الرئيسية الخبر الرئيسي قمة عربية إسلامية في الدوحة الأثنين، والجيش الإسرائيلي يعلن نزوح أكثر من 250 ألف شخص من مدينة غزة تشهد الدوحة الاثنين قمة عربية إسلامية طارئة لبحث الهجوم الإسرائيلي على قطر، ولقاء بين الرئيس الأميركي دونالد ترامب ورئيس الوزراء القطري في نيويورك، بعد محاولة اغتيال إسرائيلية لقادة من حماس في الدوحة أثارت استياء واشنطن. قبل 13 دقيقة هل ينقل الهجوم الإسرائيلي على قطر العلاقات الخليجية-الإسرائيلية إلى مرحلة مختلفة تماماً؟ الهجوم الإسرائيلي، الذي استهدف قيادات من حركة حماس أثناء وجودهم في العاصمة القطرية، لم يُقرأ خليجياً فقط باعتباره تطوراً عسكرياً خطيراً، بل كرسالة سياسية مباشرة تمس أمن دول مجلس التعاون مجتمعة. قبل 4 ساعة ""ليس لأننا لا نخاف الموت ولكن لأننا لا نقدر على ثمن النزوح"": التكلفة تجبر الغزيين على تجاهل إنذارات الإخلاء تساقطت على سكان مدينة غزة صباح الثلاثاء 9 سبتمبر/ أيلول منشورات إسرائيلية تطالبهم بإخلاء المدينة استعدادا لعملية عسكرية وصفها وزير الدفاع الإسرائيلي يسرائيل كاتس بـ""الإعصار المدوي"". لكن عددا كبيرا من نحو مليون شخص هناك لا يستطيعون النزوح لتكلفته الباهضة التي تزيد كلما اشتدت الحاجة. قبل 5 ساعة أحمد الشرع: نتفاوض مع إسرائيل حول اتفاق أمني، وروسيا انسحبت خلال إسقاط الأسد بالاتفاق معنا تحدّث الرئيس السوري للمرحلة الانتقالية، أحمد الشرع، خلال مقابلة تلفزيونية، عن مواضيع متعددة، شملت المفاوضات مع إسرائيل، والعلاقات مع روسيا وإيران، وقضية السويداء، وقوات قسد. قبل 8 ساعة نيبال تشهد تعيين أول سيدة كرئيسة وزراء في تاريخها بعد احتجاجات ""جيل زد"" التي أطاحت بالحكومة احتجاجات شعبية حاشدة تسقط حكومة نيبال وتأتي برئيسة المحكمة العليا السابقة لتشكيل حكومة جديد. 13 سبتمبر/ أيلول 2025 ما نعرفه عن تايلر روبنسون، المشتبه به في قتل تشارلي كيرك ألقت السلطات الأمريكية القبض على تايلر روبنسون، البالغ من العمر 22 عاماً، بتهمة قتل الناشط اليميني البارز تشارلي كيرك بالرصاص خلال فعالية في جامعة يوتا ف",Arabic,2025-09-13,bbc.com,https://www.bbc.com/arabic
