name,url,language,group,status,http_status,path,timestamp,final_url
CNN,https://www.cnn.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T10:43:45.245427Z,
BBC,https://www.bbc.com,English,News & Blogs/English,ok,200,data\raw\seed\www.bbc.com.html,2025-09-13T10:43:45.653756Z,https://www.bbc.com/
New York Times,https://www.nytimes.com,English,News & Blogs/English,ok,200,data\raw\seed\www.nytimes.com.html,2025-09-13T10:43:49.714296Z,https://www.nytimes.com/
The Guardian,https://www.theguardian.com,English,News & Blogs/English,ok,200,data\raw\seed\www.theguardian.com.html,2025-09-13T10:43:55.311169Z,https://www.theguardian.com/international
Reuters,https://www.reuters.com,English,News & Blogs/English,ok,401,data\raw\seed\www.reuters.com.html,2025-09-13T10:44:00.207836Z,https://www.reuters.com/
Washington Post,https://www.washingtonpost.com,English,News & Blogs/English,error,,,2025-09-13T10:44:05.705077Z,
Forbes,https://www.forbes.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T10:44:21.167445Z,
TechCrunch,https://techcrunch.com,English,News & Blogs/English,ok,200,data\raw\seed\techcrunch.com.html,2025-09-13T10:44:21.629251Z,https://techcrunch.com/
The Next Web,https://thenextweb.com,English,News & Blogs/English,ok,200,data\raw\seed\thenextweb.com.html,2025-09-13T10:44:26.556338Z,https://thenextweb.com/
Medium,https://medium.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T10:44:31.748354Z,
Dev.to,https://dev.to,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T10:44:32.296394Z,
Mashable,https://mashable.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T10:44:33.343530Z,
Wall Street Journal,https://www.wsj.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T10:44:34.878521Z,
WIRED,https://www.wired.com,English,News & Blogs/English,ok,200,data\raw\seed\www.wired.com.html,2025-09-13T10:44:58.103513Z,https://www.wired.com/
NPR,https://www.npr.org,English,News & Blogs/English,error,,,2025-09-13T10:45:01.093613Z,
Vox,https://www.vox.com,English,News & Blogs/English,ok,200,data\raw\seed\www.vox.com.html,2025-09-13T10:45:17.122174Z,https://www.vox.com/
Bloomberg,https://www.bloomberg.com,English,News & Blogs/English,ok,403,data\raw\seed\www.bloomberg.com.html,2025-09-13T10:45:22.425199Z,https://www.bloomberg.com/
Seeking Alpha,https://www.seekingalpha.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T10:45:27.337118Z,
Engadget,https://www.engadget.com,English,News & Blogs/English,ok,200,data\raw\seed\www.engadget.com.html,2025-09-13T10:45:29.254419Z,https://www.engadget.com/
The Verge,https://www.theverge.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T10:45:34.663536Z,
Financial Times,https://www.ft.com,English,News & Blogs/English,ok,200,data\raw\seed\www.ft.com.html,2025-09-13T10:45:37.786794Z,https://www.ft.com/
Ars Technica,https://arstechnica.com,English,News & Blogs/English,ok,200,data\raw\seed\arstechnica.com.html,2025-09-13T10:45:42.909863Z,https://arstechnica.com/
CNET,https://www.cnet.com,English,News & Blogs/English,ok,200,data\raw\seed\www.cnet.com.html,2025-09-13T10:45:52.022758Z,https://www.cnet.com/
Slashdot,https://www.slashdot.org,English,News & Blogs/English,ok,200,data\raw\seed\www.slashdot.org.html,2025-09-13T10:46:00.725276Z,https://slashdot.org/
HuffPost,https://www.huffpost.com,English,News & Blogs/English,ok,200,data\raw\seed\www.huffpost.com.html,2025-09-13T10:46:12.777789Z,https://www.huffpost.com/
Al Jazeera (AR),https://www.aljazeera.net,Arabic,News & Blogs/Arabic,ok,200,data\raw\seed\www.aljazeera.net.html,2025-09-13T10:46:18.716545Z,https://www.aljazeera.net/
Sky News Arabia,https://www.skynewsarabia.com,Arabic,News & Blogs/Arabic,ok,200,data\raw\seed\www.skynewsarabia.com.html,2025-09-13T10:46:24.780213Z,https://www.skynewsarabia.com/
Al Arabiya,https://www.alarabiya.net,Arabic,News & Blogs/Arabic,blocked_by_robots,,,2025-09-13T10:46:36.964070Z,
Akhbaar 24,https://www.akhbaar24.com,Arabic,News & Blogs/Arabic,ok,200,data\raw\seed\www.akhbaar24.com.html,2025-09-13T10:46:38.106580Z,https://www.akhbaar24.com/
Middle East Online,https://middle-east-online.com,Arabic,News & Blogs/Arabic,ok,200,data\raw\seed\middle-east-online.com.html,2025-09-13T10:46:42.833272Z,https://middle-east-online.com/
The National (EN+AR),https://www.thenationalnews.com,Arabic,News & Blogs/Arabic,ok,200,data\raw\seed\www.thenationalnews.com.html,2025-09-13T10:46:47.841760Z,https://www.thenationalnews.com/
CNN Arabic,https://arabic.cnn.com,Arabic,News & Blogs/Arabic,ok,200,data\raw\seed\arabic.cnn.com.html,2025-09-13T10:46:53.217819Z,https://arabic.cnn.com/
BBC Arabic,https://www.bbc.com/arabic,Arabic,News & Blogs/Arabic,ok,200,data\raw\seed\www.bbc.com.html,2025-09-13T10:46:57.357286Z,https://www.bbc.com/arabic
